Name,xcoord,ycoord,zcoord
Referencia fría 1.,-100.3379797,25.6383294,0
Referencia caliente 5.,-100.4029314,25.6760988,0
Referencia caliente 5.,-100.4029314,25.6760988,0
Referencia caliente 6.,-100.4188291,25.7697785,0
Metalsa,-100.200441,25.7493724,0
estadio BBVA,-100.2440758,25.6720905,0
"Calle Carr. A Reynosa 8789, Sin Nombre de Col 9, 67204 Guadalupe, N.L., México",-100.1745148,25.6671117,0
Referencia Caliente 1.,-100.3072458,25.7230387,0
"Museo de Cera Monterrey, Centro, 64000 Monterrey, N.L., México",-100.2836966,25.6767137,0
Tecnológico,-100.292033,25.6511309,0
Ternium,-100.3072417,25.7230383,0
Club campestre,-100.3378535,25.6382017,0
fundidora,-100.284139,25.6778154,0
cementos,-100.3002416,25.6989207,0
Sendero,-100.2926392,25.7684189,0
Metalsa,-100.2004325,25.7493686,0
estadio BBVA,-100.2441012,25.6721177,0
Daltile,-100.402889,25.6761039,0
La alianza,-100.4188272,25.7697815,0
Plaza Cumbres,-100.3967684,25.7306755,0
La Fe,-100.2144765,25.7235321,0
Tecnológico,-100.2920147,25.6511825,0
Guadalupe,-100.1733954,25.6669384,0
Referencia caliente 3.,-100.2927354,25.7684683,0
Referencia Caliente 1.,-100.3072458,25.7230387,0
